attack_id,category,instance,n,m,budget_pct,budget,attacker,k,mu_thresh,d_ari_q,d_nmi_q,d_ari_cpm,d_nmi_cpm
EC-SBM__new_zealand_collab__b260__SA-Q__k5,EC-SBM,new_zealand_collab,541,2608,0.1,260,SA-Q,5,,0.03435498989637045,0.045249922128382525,0.07283499441140973,0.08303420124884309
EC-SBM__new_zealand_collab__b260__SA-CPM__k5,EC-SBM,new_zealand_collab,541,2608,0.1,260,SA-CPM,5,,-0.027669218220905567,-0.011319991225836823,0.16351312724957606,0.11909253020981914
EC-SBM__new_zealand_collab__b260__muMEA__k10__mu10,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,10,10,-0.01597621020180992,-0.01866033226464181,0.05993678111643724,0.06723675996524836
EC-SBM__new_zealand_collab__b260__muMEA__k10__mu15,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,10,15,0.01545378230216421,0.02070459694790283,0.08046639445284431,0.04742690426994611
EC-SBM__new_zealand_collab__b260__muMEA__k10__mu20,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,10,20,0.011837846648670047,0.015436384063874264,0.10728386532006753,0.04178982590735347
EC-SBM__new_zealand_collab__b260__muMEA-best__k10,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA-best,10,,0.01545378230216421,0.02070459694790283,0.10728386532006753,0.06723675996524836
EC-SBM__new_zealand_collab__b260__SA-Q__k10,EC-SBM,new_zealand_collab,541,2608,0.1,260,SA-Q,10,,0.029216980144826793,0.05400815870343967,0.08129280944708489,0.09741400487830931
EC-SBM__new_zealand_collab__b260__SA-CPM__k10,EC-SBM,new_zealand_collab,541,2608,0.1,260,SA-CPM,10,,-0.03914341459757947,-0.027561477209470886,0.16150674150525848,0.13737916883047951
Real__karate__b3__muMEA__k5__mu10,Real,karate,34,78,0.05,3,muMEA,5,10,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__muMEA__k5__mu15,Real,karate,34,78,0.05,3,muMEA,5,15,0.0,0.0,0.0,0.0
Real__karate__b3__muMEA__k5__mu20,Real,karate,34,78,0.05,3,muMEA,5,20,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__muMEA-best__k5,Real,karate,34,78,0.05,3,muMEA-best,5,,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__SA-Q__k5,Real,karate,34,78,0.05,3,SA-Q,5,,0.2561844083024788,0.2968039367429874,0.6808531237205288,0.4489715305272376
Real__karate__b3__SA-CPM__k5,Real,karate,34,78,0.05,3,SA-CPM,5,,0.0,0.0,0.7716262975778547,0.6267915781372135
Real__karate__b3__muMEA__k10__mu10,Real,karate,34,78,0.05,3,muMEA,10,10,0.0,0.0,0.0,0.0
Real__karate__b3__muMEA__k10__mu15,Real,karate,34,78,0.05,3,muMEA,10,15,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__muMEA__k10__mu20,Real,karate,34,78,0.05,3,muMEA,10,20,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__muMEA-best__k10,Real,karate,34,78,0.05,3,muMEA-best,10,,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b3__SA-Q__k10,Real,karate,34,78,0.05,3,SA-Q,10,,0.2561844083024788,0.2968039367429874,0.6808531237205288,0.4489715305272376
Real__karate__b3__SA-CPM__k10,Real,karate,34,78,0.05,3,SA-CPM,10,,0.05749206250993211,0.09522712082561008,0.7716262975778547,0.6267915781372135
Real__karate__b7__muMEA__k5__mu10,Real,karate,34,78,0.1,7,muMEA,5,10,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b7__muMEA__k5__mu15,Real,karate,34,78,0.1,7,muMEA,5,15,0.0,0.0,0.0,0.0
Real__karate__b7__muMEA__k5__mu20,Real,karate,34,78,0.1,7,muMEA,5,20,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b7__muMEA-best__k5,Real,karate,34,78,0.1,7,muMEA-best,5,,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b7__SA-Q__k5,Real,karate,34,78,0.1,7,SA-Q,5,,0.34352572314066043,0.41307354426833004,0.6992242532848394,0.4707563987264013
Real__karate__b7__SA-CPM__k5,Real,karate,34,78,0.1,7,SA-CPM,5,,0.07235255426441572,0.0978825020056891,0.7783823410698847,0.6772430411026007
Real__karate__b7__muMEA__k10__mu10,Real,karate,34,78,0.1,7,muMEA,10,10,-0.12506858742055044,0.006923706338918367,0.0,0.0
Real__karate__b7__muMEA__k10__mu15,Real,karate,34,78,0.1,7,muMEA,10,15,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b7__muMEA__k10__mu20,Real,karate,34,78,0.1,7,muMEA,10,20,0.0,0.0,0.6808531237205288,0.4489715305272376
Real__karate__b7__muMEA-best__k10,Real,karate,34,78,0.1,7,muMEA-best,10,,0.0,0.006923706338918367,0.6808531237205288,0.4489715305272376
Real__karate__b7__SA-Q__k10,Real,karate,34,78,0.1,7,SA-Q,10,,0.33434730314352157,0.4190248520185897,0.6992242532848394,0.4707563987264013
Real__karate__b7__SA-CPM__k10,Real,karate,34,78,0.1,7,SA-CPM,10,,0.2434372522894777,0.35036935005771275,0.7783823410698847,0.6772430411026007
