ari_before,ari_after,nmi_before,nmi_after,mu_lfr,seed,budget,evaluator
0.3240827550328133,0.32564162007786013,0.5914533824589288,0.5653991041236288,0.3,3,0.05,CPM_0.1
0.8441696250242616,0.8132966189990378,0.8440397778383927,0.8194312429145711,0.3,4,0.01,Q
0.6987621611131268,0.6942350348934038,0.7326561574217468,0.7441825095351362,0.3,4,0.01,CPM_0.05
0.4144709439255909,0.4162259047954358,0.594535744187586,0.5899797327801246,0.3,4,0.01,CPM_0.1
0.8441696250242616,0.7646181777610986,0.8440397778383927,0.7539794492742072,0.3,4,0.03,Q
0.6987621611131268,0.6632448209010287,0.7326561574217468,0.7127217867070587,0.3,4,0.03,CPM_0.05
0.4144709439255909,0.33721907798919304,0.594535744187586,0.5601372392935953,0.3,4,0.03,CPM_0.1
0.8441696250242616,0.7445794411351548,0.8440397778383927,0.7420548882706436,0.3,4,0.05,Q
0.6987621611131268,0.6435346375285435,0.7326561574217468,0.6873653488216003,0.3,4,0.05,CPM_0.05
0.4144709439255909,0.3720767514213694,0.594535744187586,0.5766486450616848,0.3,4,0.05,CPM_0.1
0.2847893694644748,0.2851769154141899,0.384223366774345,0.3396589389714469,0.4,0,0.01,Q
0.33396636463557616,0.39782260900514044,0.43481117950073606,0.4958797757559367,0.4,0,0.01,CPM_0.05
0.17894203899590905,0.14315442669833714,0.4237120656222539,0.3729649791067037,0.4,0,0.01,CPM_0.1
0.2847893694644748,0.2531195400491271,0.384223366774345,0.3347936325359969,0.4,0,0.03,Q
0.33396636463557616,0.23153292766249298,0.43481117950073606,0.3632588662584735,0.4,0,0.03,CPM_0.05
0.17894203899590905,0.12938081518015182,0.4237120656222539,0.3802596983655574,0.4,0,0.03,CPM_0.1
0.2847893694644748,0.16472984479604275,0.384223366774345,0.25625834570263945,0.4,0,0.05,Q
0.33396636463557616,0.28914389049442824,0.43481117950073606,0.42089436978737266,0.4,0,0.05,CPM_0.05
0.17894203899590905,0.17132148588054047,0.4237120656222539,0.41156357806252125,0.4,0,0.05,CPM_0.1
0.30179889653830266,0.31027885737920985,0.40780350959410183,0.3955400525282939,0.4,1,0.01,Q
0.2506700063378155,0.28865982480937746,0.39374038147014645,0.40602631561307334,0.4,1,0.01,CPM_0.05
0.12746953681890938,0.14125791911821914,0.3645179867171319,0.40179097039384853,0.4,1,0.01,CPM_0.1
0.30179889653830266,0.27740351441288114,0.40780350959410183,0.3446849428098473,0.4,1,0.03,Q
0.2506700063378155,0.16150829250571885,0.39374038147014645,0.3153235103780356,0.4,1,0.03,CPM_0.05
0.12746953681890938,0.14018379586563676,0.3645179867171319,0.3793972903205363,0.4,1,0.03,CPM_0.1
0.30179889653830266,0.2329089765221583,0.40780350959410183,0.3075320829520987,0.4,1,0.05,Q
0.2506700063378155,0.256936818010226,0.39374038147014645,0.4025719174454788,0.4,1,0.05,CPM_0.05
0.12746953681890938,0.12065300945562595,0.3645179867171319,0.36752658104283203,0.4,1,0.05,CPM_0.1
0.2041234176214486,0.16129874626951318,0.30339392242206104,0.26766674429053267,0.4,2,0.01,Q
0.13704100969601934,0.17856813724660192,0.25148378103440916,0.30182916489677714,0.4,2,0.01,CPM_0.05
0.08180318673397671,0.08364974930315122,0.3103668432758183,0.3102254718546879,0.4,2,0.01,CPM_0.1
0.2041234176214486,0.16727292515143427,0.30339392242206104,0.24808056598318382,0.4,2,0.03,Q
